N,Triton,Torch (native),Torch (jit)
256.000000,1016.062015,953.250914,314.321341
384.000000,1228.800031,1224.971964,389.322769
512.000000,1264.868521,1322.290063,496.484845
640.000000,1280.000003,1281.251235,487.619051
768.000000,1374.881143,1372.481681,544.997904
896.000000,1431.363514,1429.133958,568.818371
1024.000000,1456.355533,1489.454534,619.359728
1152.000000,1406.855129,1313.639158,635.586191
1280.000000,1430.917046,1341.576269,641.880525
1408.000000,1405.940505,1408.000004,640.796472
1536.000000,1449.644245,1441.671805,680.893538
1664.000000,1401.263220,1366.428283,704.979724
1792.000000,1421.935631,1362.292490,682.666672
1920.000000,1398.349933,1332.032568,722.027173
2048.000000,1383.345630,1375.632696,727.925013
2176.000000,1398.759553,1256.753528,739.536701
2304.000000,1418.698760,1316.571411,719.956049
2432.000000,1437.856785,1343.965444,741.401615
2560.000000,1447.509621,1364.622621,728.785116
2688.000000,1433.600036,1388.054487,723.583578
2816.000000,1439.632634,1358.259003,712.347810
2944.000000,1441.040086,1387.324426,699.943353
3072.000000,1443.656683,1367.113394,703.191692
3200.000000,1460.900526,1346.814688,692.038020
3328.000000,1439.135072,1390.400632,690.341742
3456.000000,1443.877579,1415.577632,676.921164
3584.000000,1459.831315,1413.175211,670.322556
3712.000000,1439.260839,1382.716636,666.857533
3840.000000,1451.249356,1401.839603,662.314322
3968.000000,1433.238834,1383.463392,657.906736
4096.000000,1424.695621,1365.333285,646.471019
4224.000000,1416.762545,1410.295370,631.533925
4352.000000,1441.283299,1421.514563,599.307170
4480.000000,1442.162839,1405.490222,597.488946
4608.000000,1445.647085,1409.797385,608.379583
4736.000000,1450.258337,1436.937444,573.687112
4864.000000,1445.367412,1442.437308,575.541499
4992.000000,1455.940775,1433.887275,573.361912
5120.000000,1462.449070,1437.192955,555.625257
5248.000000,1468.694210,1452.615760,563.307338
5376.000000,1460.605973,1457.898261,551.163814
5504.000000,1465.443597,1443.302458,536.771055
5632.000000,1453.419374,1430.349218,526.970739
5760.000000,1462.494345,1440.000004,514.995202
5888.000000,1450.050987,1448.309461,501.439795
6016.000000,1458.424231,1437.662611,486.294932
6144.000000,1446.644346,1444.651250,480.080566
6272.000000,1455.530440,1453.389491,468.814778
6400.000000,1456.679252,1461.552137,460.063189
6528.000000,1453.031630,1449.722851,457.603507
6656.000000,1458.537141,1457.913163,450.270463
6784.000000,1465.573067,1449.064609,446.138076
6912.000000,1460.864435,1436.551239,442.367979
7040.000000,1462.560343,1444.391890,439.785261
7168.000000,1464.783816,1450.599244,437.636057
7296.000000,1464.635181,1441.463213,435.011440
7424.000000,1465.620934,1443.359835,433.889401
7552.000000,1468.245349,1439.279315,432.218192
7680.000000,1463.129253,1446.178752,430.391035
7808.000000,1457.683112,1452.915078,427.950126
7936.000000,1459.756479,1444.833114,428.701414
8064.000000,1449.707848,1433.599978,424.333811
8192.000000,1450.061873,1440.104406,399.115419
8320.000000,1467.518711,1474.248140,361.248306
8448.000000,1467.846257,1468.469210,405.367829
8576.000000,1460.472995,1475.193030,403.039342
8704.000000,1449.958677,1465.936795,403.316721
8832.000000,1461.297173,1476.807300,401.659596
8960.000000,1462.857191,1466.481253,400.691768
9088.000000,1465.760243,1464.837358,400.555758
9216.000000,1455.681680,1470.424437,400.951002
9344.000000,1453.810847,1463.819461,399.943813
9472.000000,1456.574221,1453.082882,398.812854
9600.000000,1449.377058,1448.416042,397.975802
9728.000000,1454.441767,1451.263380,396.997925
9856.000000,1446.752287,1442.822599,397.790602
9984.000000,1452.940543,1448.309399,367.089133
10112.000000,1457.175326,1448.410649,189.771427
10240.000000,1446.112254,1456.861416,264.144905
10368.000000,1454.958493,1455.157866,184.839859
10496.000000,1451.438795,1460.313011,171.698619
10624.000000,1449.756956,1461.638568,165.855746
10752.000000,1457.705282,1461.575497,184.534192
10880.000000,1457.594013,1464.010518,193.418867
11008.000000,1456.355594,1464.301388,191.370349
11136.000000,1459.150925,1465.809374,210.179039
11264.000000,1450.494967,1465.421911,195.141662
11392.000000,1455.265547,1469.935504,217.912633
11520.000000,1459.960386,1466.494321,214.251618
11648.000000,1444.188356,1466.382099,394.795181
11776.000000,1460.589229,1463.602846,304.506870
11904.000000,1459.144873,1461.769528,394.692909
12032.000000,1455.151533,1462.753000,394.991358
12160.000000,1451.940280,1459.599030,368.239670
12288.000000,1448.726285,1459.565289,342.896010
12416.000000,1457.524235,1459.532090,338.894980
12544.000000,1456.851031,1454.212087,218.821754
12672.000000,1458.155823,1455.538810,214.527550
